transaction_id,store_id,cashier_id,customer_id,timestamp,payment_method,total_amount,item_count,has_error
TRX-20260901-000027,STR-001,CSH-004,CUST-00027,2026-09-01 17:31:23,CASH,66300.0,7,False
TRX-20260901-000028,STR-001,CSH-002,CUST-00028,2026-09-01 17:38:59,DEBIT,896800.0,22,True
TRX-20260901-000029,STR-001,CSH-002,CUST-00029,2026-09-01 17:38:55,CASH,569400.0,17,False
TRX-20260901-000030,STR-001,CSH-004,CUST-00030,2026-09-01 17:51:28,CASH,1019700.0,22,False
TRX-20260901-000031,STR-001,CSH-004,CUST-00031,2026-09-01 18:40:59,CASH,56500.0,3,False
TRX-20260901-000032,STR-001,CSH-002,CUST-00032,2026-09-01 18:01:14,DEBIT,552100.0,20,False
TRX-20260901-000033,STR-001,CSH-004,CUST-00033,2026-09-01 18:30:27,CASH,417800.0,12,False
TRX-20260901-000034,STR-001,CSH-002,CUST-00034,2026-09-01 19:09:10,QRIS,52400.0,5,True
TRX-20260901-000035,STR-001,CSH-004,CUST-00035,2026-09-01 21:08:46,QRIS,81500.0,5,False
TRX-20260901-000036,STR-001,CSH-002,CUST-00036,2026-09-01 21:12:31,DEBIT,76000.0,4,True
TRX-20260901-000037,STR-001,CSH-002,CUST-00037,2026-09-01 21:54:09,CASH,49000.0,3,False
TRX-20260902-000038,STR-001,CSH-001,CUST-00038,2026-09-02 08:21:47,DEBIT,99100.0,6,False
TRX-20260902-000039,STR-001,CSH-001,CUST-00039,2026-09-02 08:40:36,QRIS,28000.0,2,False
TRX-20260902-000040,STR-001,CSH-003,CUST-00040,2026-09-02 08:07:20,DEBIT,85600.0,6,False
TRX-20260902-000041,STR-001,CSH-001,CUST-00041,2026-09-02 09:25:27,QRIS,15500.0,1,False
TRX-20260902-000042,STR-001,CSH-003,CUST-00042,2026-09-02 10:59:27,CREDIT,91300.0,7,True
TRX-20260902-000043,STR-001,CSH-001,CUST-00043,2026-09-02 11:54:28,DEBIT,90000.0,3,True
TRX-20260902-000044,STR-001,CSH-001,CUST-00044,2026-09-02 11:22:52,QRIS,779000.0,18,True
TRX-20260902-000045,STR-001,CSH-001,CUST-00045,2026-09-02 11:54:11,QRIS,96100.0,6,False
TRX-20260902-000046,STR-001,CSH-001,CUST-00046,2026-09-02 12:52:55,QRIS,104800.0,7,True
TRX-20260902-000047,STR-001,CSH-003,CUST-00047,2026-09-02 12:18:56,CASH,42000.0,3,False
TRX-20260902-000048,STR-001,CSH-001,CUST-00048,2026-09-02 12:36:59,CASH,60500.0,3,True
TRX-20260902-000049,STR-001,CSH-001,CUST-00049,2026-09-02 12:33:48,QRIS,49800.0,4,False
TRX-20260902-000050,STR-001,CSH-001,CUST-00050,2026-09-02 12:11:29,CASH,859900.0,17,False
TRX-20260902-000051,STR-001,CSH-003,CUST-00051,2026-09-02 12:01:13,DEBIT,42000.0,3,False
TRX-20260902-000052,STR-001,CSH-003,CUST-00052,2026-09-02 13:09:38,CREDIT,15500.0,1,False
TRX-20260902-000053,STR-001,CSH-001,CUST-00053,2026-09-02 13:22:09,DEBIT,466900.0,13,False
TRX-20260902-000054,STR-001,CSH-001,CUST-00054,2026-09-02 14:18:46,CASH,11500.0,1,False
TRX-20260902-000055,STR-001,CSH-002,CUST-00055,2026-09-02 15:36:54,QRIS,16300.0,2,False
TRX-20260902-000056,STR-001,CSH-002,CUST-00056,2026-09-02 15:29:30,QRIS,11000.0,1,False
TRX-20260902-000057,STR-001,CSH-004,CUST-00057,2026-09-02 16:27:07,CASH,31000.0,1,False
TRX-20260902-000058,STR-001,CSH-004,CUST-00058,2026-09-02 16:09:01,QRIS,38300.0,3,False
TRX-20260902-000059,STR-001,CSH-004,CUST-00059,2026-09-02 16:59:09,QRIS,77000.0,4,False
TRX-20260902-000060,STR-001,CSH-004,CUST-00060,2026-09-02 16:46:57,CASH,12000.0,2,False
TRX-20260902-000061,STR-001,CSH-002,CUST-00061,2026-09-02 16:40:19,DEBIT,909100.0,18,True
TRX-20260902-000062,STR-001,CSH-002,CUST-00062,2026-09-02 16:49:36,QRIS,125500.0,7,False
TRX-20260902-000063,STR-001,CSH-002,CUST-00063,2026-09-02 17:18:26,QRIS,80600.0,5,False
TRX-20260902-000064,STR-001,CSH-004,CUST-00064,2026-09-02 17:52:23,CASH,93600.0,6,False
TRX-20260902-000065,STR-001,CSH-002,CUST-00065,2026-09-02 17:23:40,QRIS,95500.0,6,False
TRX-20260902-000066,STR-001,CSH-002,CUST-00066,2026-09-02 17:46:03,QRIS,36000.0,2,False
TRX-20260902-000067,STR-001,CSH-002,CUST-00067,2026-09-02 17:22:16,DEBIT,19300.0,2,False
TRX-20260902-000068,STR-001,CSH-002,CUST-00068,2026-09-02 18:08:11,DEBIT,115800.0,8,True
TRX-20260902-000069,STR-001,CSH-002,CUST-00069,2026-09-02 19:30:52,CASH,158900.0,7,False
TRX-20260902-000070,STR-001,CSH-002,CUST-00070,2026-09-02 19:12:09,QRIS,34900.0,3,True
TRX-20260902-000071,STR-001,CSH-004,CUST-00071,2026-09-02 20:48:36,CASH,48300.0,6,False
TRX-20260902-000072,STR-001,CSH-002,CUST-00072,2026-09-02 20:57:06,DEBIT,33000.0,2,False
TRX-20260902-000073,STR-001,CSH-002,CUST-00073,2026-09-02 20:34:53,DEBIT,21500.0,1,False
TRX-20260902-000074,STR-001,CSH-004,CUST-00074,2026-09-02 20:07:20,QRIS,94000.0,6,False
TRX-20260903-000075,STR-001,CSH-003,CUST-00075,2026-09-03 11:01:00,QRIS,88500.0,5,False
TRX-20260903-000076,STR-001,CSH-003,CUST-GUEST,2026-09-03 11:32:52,CASH,592900.0,16,True
TRX-20260903-000077,STR-001,CSH-003,CUST-00077,2026-09-03 11:37:20,QRIS,696400.0,19,False
TRX-20260903-000078,STR-001,CSH-003,CUST-00078,2026-09-03 13:53:13,CREDIT,35000.0,2,False
TRX-20260903-000079,STR-001,CSH-003,CUST-00079,2026-09-03 13:57:56,QRIS,19300.0,2,False
TRX-20260903-000080,STR-001,CSH-003,CUST-00080,2026-09-03 13:23:28,CASH,51000.0,3,False
TRX-20260903-000081,STR-001,CSH-003,CUST-00081,2026-09-03 14:00:43,QRIS,8000.0,1,False
TRX-20260903-000082,STR-001,CSH-002,CUST-00082,2026-09-03 15:40:21,DEBIT,52000.0,3,False
TRX-20260903-000083,STR-001,CSH-004,CUST-00083,2026-09-03 15:58:18,DEBIT,3800.0,1,False
TRX-20260903-000084,STR-001,CSH-002,CUST-00084,2026-09-03 15:48:45,QRIS,939800.0,21,False
TRX-20260903-000085,STR-001,CSH-004,CUST-00085,2026-09-03 15:54:23,CASH,382900.0,9,False
TRX-20260903-000086,STR-001,CSH-004,CUST-00086,2026-09-03 16:16:14,QRIS,331500.0,10,False
TRX-20260903-000087,STR-001,CSH-002,CUST-00087,2026-09-03 16:14:19,QRIS,56500.0,3,True
TRX-20260903-000088,STR-001,CSH-004,CUST-00088,2026-09-03 16:03:25,QRIS,345900.0,8,False
TRX-20260903-000089,STR-001,CSH-002,CUST-00089,2026-09-03 17:17:21,QRIS,40500.0,2,False
TRX-20260903-000090,STR-001,CSH-002,CUST-00090,2026-09-03 17:13:00,QRIS,39500.0,3,False
TRX-20260903-000091,STR-001,CSH-002,CUST-00091,2026-09-03 17:54:45,CREDIT,58800.0,6,False
TRX-20260903-000092,STR-001,CSH-002,CUST-00092,2026-09-03 17:20:17,QRIS,16500.0,1,False
TRX-20260903-000093,STR-001,CSH-004,CUST-00093,2026-09-03 17:06:41,QRIS,28500.0,2,False
TRX-20260903-000094,STR-001,CSH-004,CUST-00094,2026-09-03 18:24:55,CASH,628500.0,15,False
TRX-20260903-000095,STR-001,CSH-004,CUST-00095,2026-09-03 18:05:06,QRIS,3800.0,1,False
TRX-20260903-000096,STR-001,CSH-004,CUST-00096,2026-09-03 18:52:53,CASH,54000.0,3,False
TRX-20260903-000097,STR-001,CSH-004,CUST-00097,2026-09-03 18:32:27,QRIS,85600.0,6,False
TRX-20260903-000098,STR-001,CSH-002,CUST-00098,2026-09-03 18:35:54,QRIS,39100.0,4,False
TRX-20260903-000099,STR-001,CSH-002,CUST-00099,2026-09-03 18:23:13,DEBIT,30300.0,3,False
TRX-20260903-000100,STR-001,CSH-004,CUST-00100,2026-09-03 19:29:56,DEBIT,63600.0,5,True
TRX-20260903-000101,STR-001,CSH-002,CUST-00101,2026-09-03 19:42:26,QRIS,119600.0,6,False
TRX-20260903-000102,STR-001,CSH-002,CUST-00102,2026-09-03 20:03:10,CASH,24000.0,1,False
TRX-20260903-000103,STR-001,CSH-002,CUST-00103,2026-09-03 20:23:18,CREDIT,11000.0,1,False
TRX-20260903-000104,STR-001,CSH-004,CUST-00104,2026-09-03 20:47:34,CASH,595000.0,10,False
